,Final Portfolio Value,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Historical VaR 95%,Historical CVaR 95%
Random,100752.93000000028,0.007529300000002737,0.01927715008287567,0.006082921969962465,3.1420319553267535,-0.002386120872961861,0.0006495791829467578,0.0008113405281961583
Buy and Hold,112999.46588311944,0.12999465883119443,0.36490850505843575,0.08519446537146014,3.695887138804411,-0.05570960381595991,0.007638454747492633,0.010501486952559614
Moving Average,101138.62999999986,0.011386299999998517,0.02923884611736094,0.017941453079512382,1.6152789347804788,-0.009380964142175263,0.0016334591893061733,0.0023725730796849255
Momentum,101472.38,0.014723800000000065,0.03790631721977755,0.01740148848040345,2.146835102520173,-0.007901253753565207,0.0016874319472610635,0.002349547194499246
Mean Reversion,100617.18000000007,0.006171800000000616,0.01578504339936382,0.008981056588236553,1.7483637895121593,-0.004790751965764062,0.0008065628494510972,0.0011010486673316722
